"Step","fancy-sweep-5 - ENV_Test_accuracy","fancy-sweep-5 - ENV_Test_accuracy__MIN","fancy-sweep-5 - ENV_Test_accuracy__MAX","robust-sweep-6 - ENV_Test_accuracy","robust-sweep-6 - ENV_Test_accuracy__MIN","robust-sweep-6 - ENV_Test_accuracy__MAX","prime-sweep-4 - ENV_Test_accuracy","prime-sweep-4 - ENV_Test_accuracy__MIN","prime-sweep-4 - ENV_Test_accuracy__MAX","rose-sweep-1 - ENV_Test_accuracy","rose-sweep-1 - ENV_Test_accuracy__MIN","rose-sweep-1 - ENV_Test_accuracy__MAX","sleek-sweep-2 - ENV_Test_accuracy","sleek-sweep-2 - ENV_Test_accuracy__MIN","sleek-sweep-2 - ENV_Test_accuracy__MAX","breezy-sweep-3 - ENV_Test_accuracy","breezy-sweep-3 - ENV_Test_accuracy__MIN","breezy-sweep-3 - ENV_Test_accuracy__MAX"
"2","0.764224","0.764224","0.764224","0.765888","0.765888","0.765888","0.769024","0.769024","0.769024","0.762432","0.762432","0.762432","0.760448","0.760448","0.760448","0.765952","0.765952","0.765952"
"3","0.764224","0.764224","0.764224","0.765888","0.765888","0.765888","0.769024","0.769024","0.769024","0.762432","0.762432","0.762432","0.760448","0.760448","0.760448","0.765952","0.765952","0.765952"
"4","0.764224","0.764224","0.764224","0.765888","0.765888","0.765888","0.769024","0.769024","0.769024","0.762432","0.762432","0.762432","0.760448","0.760448","0.760448","0.765952","0.765952","0.765952"
"5","0.776896","0.776896","0.776896","0.772608","0.772608","0.772608","0.778752","0.778752","0.778752","0.778368","0.778368","0.778368","0.773184","0.773184","0.773184","0.774592","0.774592","0.774592"
"6","0.776896","0.776896","0.776896","0.772608","0.772608","0.772608","0.778752","0.778752","0.778752","0.778368","0.778368","0.778368","0.773184","0.773184","0.773184","0.774592","0.774592","0.774592"
"7","0.776896","0.776896","0.776896","0.772608","0.772608","0.772608","0.778752","0.778752","0.778752","0.778368","0.778368","0.778368","0.773184","0.773184","0.773184","0.774592","0.774592","0.774592"
"8","0.777856","0.777856","0.777856","0.77664","0.77664","0.77664","0.776768","0.776768","0.776768","0.776","0.776","0.776","0.77696","0.77696","0.77696","0.775232","0.775232","0.775232"
"9","0.777856","0.777856","0.777856","0.77664","0.77664","0.77664","0.776768","0.776768","0.776768","0.776","0.776","0.776","0.77696","0.77696","0.77696","0.775232","0.775232","0.775232"
"10","0.777856","0.777856","0.777856","0.77664","0.77664","0.77664","0.776768","0.776768","0.776768","0.776","0.776","0.776","0.77696","0.77696","0.77696","0.775232","0.775232","0.775232"
"11","0.775936","0.775936","0.775936","0.780352","0.780352","0.780352","0.779456","0.779456","0.779456","0.777152","0.777152","0.777152","0.776576","0.776576","0.776576","0.774592","0.774592","0.774592"
"12","0.775936","0.775936","0.775936","0.780352","0.780352","0.780352","0.779456","0.779456","0.779456","0.777152","0.777152","0.777152","0.776576","0.776576","0.776576","0.774592","0.774592","0.774592"
"13","0.775936","0.775936","0.775936","0.780352","0.780352","0.780352","0.779456","0.779456","0.779456","0.777152","0.777152","0.777152","0.776576","0.776576","0.776576","0.774592","0.774592","0.774592"
"14","0.777664","0.777664","0.777664","0.780608","0.780608","0.780608","0.782272","0.782272","0.782272","0.780416","0.780416","0.780416","0.779072","0.779072","0.779072","0.772032","0.772032","0.772032"
"15","0.777664","0.777664","0.777664","0.780608","0.780608","0.780608","0.782272","0.782272","0.782272","0.780416","0.780416","0.780416","0.779072","0.779072","0.779072","0.772032","0.772032","0.772032"
"16","0.777664","0.777664","0.777664","0.780608","0.780608","0.780608","0.782272","0.782272","0.782272","0.780416","0.780416","0.780416","0.779072","0.779072","0.779072","0.772032","0.772032","0.772032"
"17","0.773376","0.773376","0.773376","0.774976","0.774976","0.774976","0.77888","0.77888","0.77888","0.778496","0.778496","0.778496","0.780032","0.780032","0.780032","0.77504","0.77504","0.77504"
"18","0.773376","0.773376","0.773376","0.774976","0.774976","0.774976","0.77888","0.77888","0.77888","0.778496","0.778496","0.778496","0.780032","0.780032","0.780032","0.77504","0.77504","0.77504"
